	6-azauridine	Abacavir	Acyclovir	Asunaprevir	Atazanavir	Baloxavir_marboxil	Bictegravir	Bleomycin	Boceprevir	Camostat	Cenicriviroc	Censavudine	Chloroquine	Cobicistat	Cyclosporin_A	Daclatasvir	Darunavir	Didanosine	Dolutegravir	Efavirenz	Elbasvir	Eltrombopag	Elvitegravir	Emtricitabine	Etravirine	FK506	Fosamprenavir	Ganciclovir	Glecaprevir	Glycyrrhizin	Grazoprevir	Herbacetin	Indinavir	Lamivudine	Laninamivir	Ledipasvir	Letermovir	Lopinavir	Maraviroc	Maribavir	Mizoribine	Mycophenolic_acid	Nelfinavir	Nevirapine	Nitazoxanide	Oseltamivir	Pentoxifylline	Peramivir	Phenothiazine	Pibrentasvir	Presatovir	Protein_phosphatase_1	Pyrazofurin	Raltegravir	Remdesivir	Rhoifolin	Ribavirin	Rifabutin	Rilpivirine	Rimantadine	Ritonavir	Saquinavir	Simeprevir	Sofosbuvir	stavudine	sulfamethoxazole	Teicoplanin	Tenofovir	Tenofovir_alafenamide	Tenofovir_disoproxil	Tipranavir	Trimethoprim	Valaciclovir	Valganciclovir	Velpatasvir	Voxilaprevir	Zanamivir	zidovudine
Cenicriviroc	0.052631579	0.079365079	0.092485549	0.119521912	0.178423237	0.167420814	0.120192308	0.112637363	0.071428571	0.210810811	1	0.06043956	0.157303371	0.204819277	0.09009009	0.228215768	0.16744186	0.066298343	0.140703518	0.069148936	0.205128205	0.185929648	0.163265306	0.05027933	0.144329897	0.079422383	0.172093023	0.083798883	0.10989011	0.060283688	0.122137405	0.127071823	0.198237885	0.056818182	0.061538462	0.189781022	0.199074074	0.217777778	0.131818182	0.088541667	0.054945055	0.101604278	0.158371041	0.104395604	0.122222222	0.115384615	0.125	0.073684211	0.094117647	0.142414861	0.139534884	0.134831461	0.043478261	0.143564356	0.165178571	0.127192982	0.049723757	0.136029412	0.148717949	0.034285714	0.17768595	0.170124481	0.156	0.141509434	0.062146893	0.110465116	0.120614035	0.094972067	0.174129353	0.126760563	0.208333333	0.103825137	0.15	0.121693122	0.192028986	0.124542125	0.051546392	0.053763441
Censavudine	0.166666667	0.135416667	0.146341463	0.068965517	0.061797753	0.101351351	0.131147541	0.054421769	0.050724638	0.084033613	0.06043956	1	0.077669903	0.062176166	0.046875	0.069148936	0.090909091	0.180722892	0.147826087	0.139784946	0.058823529	0.11023622	0.127118644	0.17721519	0.085470085	0.090909091	0.090277778	0.151162791	0.089005236	0.056994819	0.087431694	0.101010101	0.079268293	0.166666667	0.098039216	0.064516129	0.078947368	0.098159509	0.092198582	0.117647059	0.127906977	0.11	0.095238095	0.152173913	0.091836735	0.069306931	0.119565217	0.058252427	0.083333333	0.049808429	0.102941176	0.091836735	0.114942529	0.123966942	0.11409396	0.094594595	0.104651163	0.103092784	0.084033613	0.036144578	0.061452514	0.074712644	0.096045198	0.176	0.55	0.129411765	0.042606516	0.10989011	0.084615385	0.074074074	0.092105263	0.080808081	0.12	0.13592233	0.068493151	0.087179487	0.101010101	0.383561644
Chloroquine	0.044247788	0.099099099	0.103092784	0.143678161	0.134831461	0.086419753	0.070921986	0.069536424	0.039473684	0.14516129	0.157303371	0.077669903	1	0.135416667	0.060377358	0.103092784	0.134228188	0.077669903	0.106870229	0.144230769	0.088105727	0.140740741	0.177419355	0.06	0.138211382	0.043269231	0.133333333	0.108910891	0.088669951	0.028436019	0.081632653	0.119266055	0.137724551	0.072164948	0.059322034	0.094170404	0.10625	0.129411765	0.136054422	0.165137615	0.057692308	0.087719298	0.122580645	0.155339806	0.142857143	0.110091743	0.148514851	0.079646018	0.130434783	0.078947368	0.156028369	0.165048544	0.047619048	0.128787879	0.169934641	0.09375	0.048543689	0.075829384	0.163934426	0.03125	0.140449438	0.123595506	0.112903226	0.126760563	0.081632653	0.172043011	0.061881188	0.117647059	0.157894737	0.112676056	0.169934641	0.132075472	0.126126126	0.120689655	0.107623318	0.09223301	0.051724138	0.055555556
Cobicistat	0.06	0.08	0.07486631	0.14453125	0.292576419	0.179039301	0.09375	0.148760331	0.115044248	0.174129353	0.204819277	0.062176166	0.135416667	1	0.077586207	0.207843137	0.246445498	0.067708333	0.11682243	0.065	0.226618705	0.142857143	0.137440758	0.063829787	0.103773585	0.076124567	0.251184834	0.078534031	0.141304348	0.072413793	0.116788321	0.08	0.314814815	0.07027027	0.089552239	0.177700348	0.153191489	0.375	0.180995475	0.088669951	0.051546392	0.095477387	0.196428571	0.103626943	0.150537634	0.096938776	0.105263158	0.090909091	0.144508671	0.161585366	0.13215859	0.103092784	0.046153846	0.151658768	0.186956522	0.084677419	0.052083333	0.114583333	0.113207547	0.037634409	0.659217877	0.295154185	0.148854962	0.165137615	0.063829787	0.10326087	0.096436059	0.077720207	0.180952381	0.130044843	0.207964602	0.091836735	0.123076923	0.125628141	0.222222222	0.119298246	0.074626866	0.055837563
Cyclosporin_A	0.070038911	0.052830189	0.051792829	0.082066869	0.078078078	0.074193548	0.080701754	0.140142518	0.078767123	0.038194444	0.09009009	0.046875	0.060377358	0.077586207	1	0.097633136	0.075907591	0.050980392	0.082437276	0.029850746	0.103825137	0.076124567	0.086021505	0.047808765	0.049469965	0.123123123	0.072131148	0.059055118	0.086206897	0.087209302	0.09495549	0.081395349	0.077639752	0.044	0.056179775	0.104683196	0.067092652	0.090625	0.072847682	0.075757576	0.05952381	0.080769231	0.074675325	0.053435115	0.03358209	0.061068702	0.087649402	0.064885496	0.015564202	0.096296296	0.066666667	0.053231939	0.05952381	0.085106383	0.080385852	0.099337748	0.051587302	0.153153153	0.049122807	0.02811245	0.097560976	0.075301205	0.113149847	0.081911263	0.052	0.031007752	0.099437148	0.05859375	0.079861111	0.09375	0.080385852	0.049242424	0.072243346	0.078947368	0.100817439	0.107246377	0.060836502	0.05859375
Daclatasvir	0.072164948	0.098445596	0.070652174	0.219409283	0.280701754	0.17699115	0.126168224	0.140883978	0.169811321	0.177664975	0.228215768	0.069148936	0.103092784	0.207843137	0.097633136	1	0.182648402	0.098360656	0.140776699	0.082901554	0.552995392	0.167464115	0.151219512	0.053763441	0.116504854	0.137037037	0.187214612	0.074468085	0.164794007	0.112318841	0.170542636	0.109947644	0.186440678	0.06010929	0.096938776	0.464912281	0.191964286	0.226086957	0.162895928	0.085	0.058201058	0.091836735	0.2	0.142076503	0.129032258	0.098958333	0.08994709	0.092783505	0.096045198	0.401486989	0.210526316	0.147540984	0.052631579	0.154589372	0.14957265	0.11814346	0.058823529	0.156934307	0.137254902	0.061797753	0.220833333	0.239316239	0.207317073	0.168224299	0.076923077	0.099447514	0.099576271	0.079365079	0.173076923	0.142857143	0.14957265	0.111111111	0.12565445	0.128205128	0.434042553	0.171003717	0.076142132	0.068062827
Darunavir	0.086666667	0.120805369	0.085714286	0.145539906	0.286458333	0.194594595	0.126436782	0.105105105	0.109289617	0.198717949	0.16744186	0.090909091	0.134228188	0.246445498	0.075907591	0.182648402	1	0.098591549	0.172839506	0.093333333	0.196721311	0.16374269	0.157575758	0.094202899	0.114457831	0.09623431	0.653846154	0.090277778	0.161572052	0.087136929	0.127192982	0.098684211	0.256684492	0.103703704	0.140939597	0.165322581	0.168421053	0.309392265	0.204545455	0.109677419	0.091549296	0.104575163	0.251428571	0.115646259	0.153846154	0.129251701	0.095238095	0.120805369	0.15503876	0.133105802	0.155555556	0.10738255	0.091549296	0.134502924	0.230769231	0.12244898	0.085106383	0.128630705	0.113095238	0.074626866	0.278350515	0.310160428	0.150684932	0.22754491	0.102189781	0.232	0.087155963	0.104166667	0.213414634	0.127777778	0.237569061	0.085526316	0.133333333	0.14379085	0.201646091	0.129707113	0.128378378	0.096551724
Didanosine	0.153846154	0.282352941	0.27027027	0.087719298	0.055865922	0.093959732	0.159663866	0.065292096	0.066176471	0.057377049	0.066298343	0.180722892	0.077669903	0.067708333	0.050980392	0.098360656	0.098591549	1	0.147826087	0.152173913	0.083333333	0.076335878	0.090163934	0.256756757	0.058333333	0.085106383	0.090277778	0.207317073	0.094736842	0.073684211	0.099447514	0.09	0.085889571	0.263888889	0.087378641	0.079439252	0.086092715	0.078313253	0.115942029	0.151515152	0.227848101	0.088235294	0.102739726	0.204545455	0.080808081	0.069306931	0.119565217	0.058252427	0.070588235	0.062015504	0.111111111	0.103092784	0.168674699	0.105691057	0.099337748	0.102040816	0.202531646	0.086294416	0.066115702	0.048780488	0.055555556	0.093567251	0.102272727	0.122137405	0.24	0.090909091	0.042606516	0.188235294	0.119047619	0.115384615	0.08496732	0.091836735	0.191489362	0.206185567	0.088372093	0.092783505	0.09	0.231707317
Dolutegravir	0.112	0.134920635	0.084745763	0.139896373	0.093137255	0.246835443	0.563636364	0.081761006	0.098159509	0.124137931	0.140703518	0.147826087	0.106870229	0.11682243	0.082437276	0.140776699	0.172839506	0.147826087	1	0.157024793	0.130801688	0.182432432	0.218978102	0.165137615	0.118055556	0.117370892	0.15060241	0.081300813	0.157894737	0.081818182	0.153465347	0.181818182	0.140540541	0.136363636	0.097744361	0.137339056	0.185628743	0.139037433	0.153374233	0.121212121	0.110169492	0.150793651	0.174698795	0.166666667	0.155737705	0.092307692	0.132231405	0.083333333	0.086956522	0.140740741	0.210526316	0.11023622	0.110169492	0.268656716	0.123595506	0.14619883	0.093220339	0.148148148	0.116438356	0.052631579	0.098039216	0.14507772	0.157360406	0.16025641	0.165137615	0.140350877	0.07398568	0.08	0.114649682	0.078313253	0.162790698	0.11023622	0.097744361	0.102189781	0.150214592	0.160377358	0.1	0.153846154
Efavirenz	0.076190476	0.114285714	0.085106383	0.134502924	0.059139785	0.11038961	0.149606299	0.035830619	0.055172414	0.078740157	0.069148936	0.139784946	0.144230769	0.065	0.029850746	0.082901554	0.093333333	0.152173913	0.157024793	1	0.080357143	0.087591241	0.119047619	0.10989011	0.097560976	0.070707071	0.092715232	0.080808081	0.125	0.06	0.118918919	0.125	0.081871345	0.112359551	0.043478261	0.096330275	0.139072848	0.080924855	0.117241379	0.099099099	0.060606061	0.072072072	0.104575163	0.1875	0.095238095	0.045045045	0.067307692	0.026315789	0.137931034	0.076335878	0.153284672	0.095238095	0.071428571	0.107692308	0.0875	0.08974359	0.051020408	0.082926829	0.096	0.044444444	0.053191489	0.089385475	0.103825137	0.107142857	0.122222222	0.130434783	0.044334975	0.058252427	0.071942446	0.040816327	0.152317881	0.074766355	0.071428571	0.068376068	0.080357143	0.12244898	0.044642857	0.101010101
Elbasvir	0.061674009	0.09375	0.055045872	0.192592593	0.28458498	0.19123506	0.132231405	0.146529563	0.151639344	0.142241379	0.205128205	0.058823529	0.088105727	0.226618705	0.103825137	0.552995392	0.196721311	0.083333333	0.130801688	0.080357143	1	0.183760684	0.154506438	0.055299539	0.128755365	0.133333333	0.195918367	0.058558559	0.182130584	0.107491857	0.175438596	0.113636364	0.203846154	0.060747664	0.097345133	0.510288066	0.195219124	0.24015748	0.178861789	0.10619469	0.054298643	0.083333333	0.207317073	0.12037037	0.119815668	0.089285714	0.076576577	0.084070796	0.107317073	0.404109589	0.201680672	0.114678899	0.054298643	0.142857143	0.170542636	0.124528302	0.054794521	0.162790698	0.127659574	0.057142857	0.234848485	0.256809339	0.213235294	0.179166667	0.065116279	0.094339623	0.124236253	0.058035714	0.168776371	0.115079365	0.166023166	0.099547511	0.102222222	0.104803493	0.450980392	0.175675676	0.079295154	0.062780269
Eltrombopag	0.072463768	0.078014184	0.078740157	0.106280193	0.165829146	0.190751445	0.16025641	0.076219512	0.05027933	0.178082192	0.185929648	0.11023622	0.140740741	0.142857143	0.076124567	0.167464115	0.16374269	0.076335878	0.182432432	0.087591241	0.183760684	1	0.23943662	0.070866142	0.214285714	0.07860262	0.169590643	0.083969466	0.120535714	0.060085837	0.110091743	0.216	0.176470588	0.080645161	0.091549296	0.175965665	0.246987952	0.21978022	0.125714286	0.113475177	0.085271318	0.157894737	0.186046512	0.182539683	0.153846154	0.070921986	0.114503817	0.078014184	0.155172414	0.136200717	0.16969697	0.171875	0.085271318	0.209459459	0.167597765	0.15819209	0.069767442	0.142222222	0.219858156	0.0078125	0.153465347	0.16751269	0.150485437	0.158536585	0.114754098	0.168067227	0.100719424	0.082706767	0.157232704	0.08045977	0.215116279	0.119402985	0.09929078	0.103448276	0.183760684	0.103896104	0.09352518	0.099236641
Elvitegravir	0.085271318	0.082706767	0.112068966	0.151041667	0.137055838	0.185628743	0.184931507	0.095238095	0.065088757	0.146853147	0.163265306	0.127118644	0.177419355	0.137440758	0.086021505	0.151219512	0.157575758	0.090163934	0.218978102	0.119047619	0.154506438	0.23943662	1	0.113043478	0.157142857	0.086363636	0.163636364	0.13559322	0.119815668	0.066964286	0.119617225	0.180327869	0.145945946	0.095652174	0.1484375	0.151515152	0.228395062	0.188888889	0.152439024	0.182539683	0.090909091	0.18699187	0.173652695	0.146341463	0.163934426	0.1	0.131147541	0.107692308	0.115044248	0.127737226	0.170886076	0.136	0.081967213	0.1875	0.175438596	0.152046784	0.083333333	0.142201835	0.138888889	0.025423729	0.153846154	0.132653061	0.186528497	0.189542484	0.132743363	0.129310345	0.089371981	0.123966942	0.189189189	0.125	0.168604651	0.193277311	0.166666667	0.1875	0.159482759	0.127853881	0.125	0.105691057
Emtricitabine	0.149425287	0.195402299	0.186666667	0.058479532	0.045454545	0.112676056	0.166666667	0.066433566	0.052631579	0.05982906	0.05027933	0.17721519	0.06	0.063829787	0.047808765	0.053763441	0.094202899	0.256756757	0.165137615	0.10989011	0.055299539	0.070866142	0.113043478	1	0.079646018	0.069892473	0.085714286	0.175	0.074074074	0.058510638	0.071823204	0.083333333	0.075	0.622641509	0.103092784	0.056074766	0.096551724	0.06097561	0.087591241	0.159574468	0.210526316	0.092783505	0.075862069	0.10989011	0.073684211	0.084210526	0.101123596	0.072164948	0.061728395	0.054901961	0.098484848	0.096774194	0.179487179	0.11965812	0.102739726	0.097902098	0.184210526	0.071794872	0.050847458	0.051948052	0.057142857	0.083333333	0.073863636	0.118110236	0.23943662	0.109756098	0.040506329	0.142857143	0.088	0.085271318	0.080536913	0.108695652	0.126315789	0.142857143	0.060185185	0.078125	0.106382979	0.246753247
Etravirine	0.03875969	0.112903226	0.098214286	0.091370558	0.095477387	0.136094675	0.098684211	0.079617834	0.023529412	0.161764706	0.144329897	0.085470085	0.138211382	0.103773585	0.049469965	0.116504854	0.114457831	0.058333333	0.118055556	0.097560976	0.128755365	0.214285714	0.157142857	0.079646018	1	0.044843049	0.113772455	0.094017094	0.097222222	0.026431718	0.101449275	0.169491525	0.095744681	0.081081081	0.052238806	0.130434783	0.148809524	0.136612022	0.095808383	0.108527132	0.041322314	0.09375	0.104651163	0.153846154	0.123966942	0.053846154	0.064516129	0.029850746	0.132075472	0.10989011	0.162337662	0.203539823	0.041322314	0.161971831	0.153846154	0.130177515	0.042016807	0.094594595	0.449541284	0.017699115	0.111675127	0.102040816	0.143589744	0.1	0.079646018	0.19047619	0.067146283	0.101694915	0.140939597	0.080745342	0.140350877	0.192982456	0.1015625	0.097744361	0.123931624	0.095454545	0.037593985	0.056910569
FK506	0.110526316	0.085858586	0.058201058	0.154150198	0.088560886	0.120833333	0.124423963	0.103448276	0.120535714	0.063348416	0.079422383	0.090909091	0.043269231	0.076124567	0.123123123	0.137037037	0.09623431	0.085106383	0.117370892	0.070707071	0.133333333	0.07860262	0.086363636	0.069892473	0.044843049	1	0.091286307	0.062176166	0.154411765	0.196911197	0.215139442	0.0591133	0.101167315	0.064864865	0.101010101	0.127090301	0.093117409	0.096153846	0.130434783	0.1	0.091397849	0.112820513	0.136170213	0.081632653	0.059701493	0.097435897	0.088541667	0.085858586	0.026041667	0.144578313	0.142857143	0.059701493	0.085561497	0.09009009	0.105691057	0.12605042	0.086486486	0.212121212	0.049107143	0.078651685	0.064748201	0.118320611	0.181102362	0.119469027	0.087431694	0.052083333	0.092050209	0.056122449	0.073913043	0.077253219	0.066666667	0.081218274	0.073891626	0.077294686	0.133333333	0.182156134	0.085858586	0.10106383
Fosamprenavir	0.115646259	0.105263158	0.085106383	0.150234742	0.271794872	0.206521739	0.11299435	0.101492537	0.102702703	0.205128205	0.172093023	0.090277778	0.133333333	0.251184834	0.072131148	0.187214612	0.653846154	0.090277778	0.15060241	0.092715232	0.195918367	0.169590643	0.163636364	0.085714286	0.113772455	0.091286307	1	0.097222222	0.145922747	0.08677686	0.116883117	0.105263158	0.242105263	0.094890511	0.117647059	0.164658635	0.173684211	0.286486486	0.189944134	0.101910828	0.083333333	0.111111111	0.229050279	0.114864865	0.152777778	0.120805369	0.094594595	0.112582781	0.153846154	0.132653061	0.148351648	0.106666667	0.083333333	0.13372093	0.243093923	0.116161616	0.076923077	0.128099174	0.112426036	0.058394161	0.257575758	0.28125	0.155251142	0.240963855	0.09352518	0.23015873	0.086956522	0.142857143	0.234567901	0.146067416	0.236263736	0.092105263	0.14	0.150326797	0.200819672	0.119834711	0.105263158	0.081081081
