	Azacitidine	Brincidofovir	Cidofovir	Filociclovir	Flavopiridol	Ganciclovir	Letermovir	Niclosamide	Nitazoxanide	Favipiravir	Artesunate	Bithionol	Dasatinib	Erlotinib	Gefitinib	Hexachlorophene	Imatinib	Leflunomide	Mycophenolic_acid	Rapamycin_(Sirolimus)	Sunitinib	Navitoclax	Chloroquine	Chlorpromazine	Atovaquone	Berberine	Doxycycline	Eflornithine	EIPA_(amiloride)	Hydroxychloroquine	Isolanid_(lanatoside_C)	Ivermectin	Luteolin	Nelfinavir	Ribavirin	Silvestrol	Sofosbuvir	Sorafenib	Suramin	Tilorone_(Amixin)	Cyclosporine	Emetine	Emodin	Foscarnet	Lobucavir	Manidipine	Monensin	Quercetin	Salinomycin	Saracatinib	Simvastatin	Valacyclovir	Verapamil	4-HPR_(Fenretinide)	Amiodarone	Amodiaquine	Anisomycin	BCX4430_(Galidesivir)	Bepridil	Bortezomib	Brequinar	Entrectinib	Fluoxetine	Fluvastatin	Lovastatin	Metformin	Minocycline	Mitoxantrone	Posaconazole	Quinacrine	Quinine	Raloxifene	Remdesivir	Topotecan	Apilimod	Arbidol_(Umifenovir)	Azithromycin	Benztropine	Clomipramine	Dalbavancin	Diphyllin	Nafamostat	Oritavancin	Tamoxifen	Teicoplanin	Telavancin	Teriflunomide	Toremifene	Aciclovir	Camptothecin	Glycyrrhizin	Novobiocin	Promethazine	Roscovitine_(Seliciclib)	Homoharringtonine	Acetylsalicylic_acid	Azaribine	Caffeine	Camostat	Gemcitabine	Genistin	Itraconazole	Kasugamycin	Memantine	Obatoclax	Pentosan_polysulfate	Regorafenib	Trametinib	Triazavirin	Zanamivir	Ezetimibe	Irbesartan	Lamivudine	Tenofovir	Thymalfasin	Alisporivir	Cepharanthine	Boceprevir	Dibucaine	Elbasvir	Pirlindole	Formoterol	Pleconaril	Alpha-lipoic_acid	Indomethacin	Lopinavir	Ritonavir	Mefloquine
Ivermectin	0.051630435	0.036951501	0.034574468	0.034120735	0.071611253	0.031662269	0.075471698	0.039164491	0.033678756	0.016483516	0.083333333	0.037037037	0.058394161	0.05721393	0.058968059	0.033942559	0.063981043	0.034210526	0.057742782	0.242206235	0.055137845	0.078028747	0.041343669	0.038860104	0.075129534	0.064267352	0.084183673	0.010899183	0.013333333	0.041025641	0.278846154	1	0.055555556	0.086330935	0.045945946	0.128878282	0.086633663	0.051344743	0.055147059	0.05707196	0.106719368	0.094292804	0.056149733	0.014245014	0.039577836	0.080645161	0.175879397	0.055263158	0.169082126	0.076009501	0.098701299	0.043927649	0.077306733	0.0525	0.054187192	0.051020408	0.053475936	0.04787234	0.060606061	0.052763819	0.055276382	0.074766355	0.041343669	0.062656642	0.104986877	0.005540166	0.075376884	0.051219512	0.089285714	0.057934509	0.059431525	0.067961165	0.087885986	0.072864322	0.058679707	0.057788945	0.198492462	0.067885117	0.043927649	0.1152	0.040106952	0.045454545	0.164685908	0.049751244	0.125796178	0.138513514	0.023560209	0.044226044	0.026595745	0.072351421	0.153488372	0.103117506	0.047368421	0.055979644	0.084337349	0.030136986	0.05655527	0.032786885	0.047263682	0.042895442	0.097686375	0.085393258	0.087765957	0.038567493	0.056701031	0.082706767	0.051094891	0.06763285	0.021390374	0.04973822	0.06234414	0.066176471	0.035135135	0.034210526	0.037414966	0.108481262	0.090069284	0.05811138	0.04040404	0.10041841	0.045454545	0.059278351	0.053164557	0.019021739	0.059431525	0.080275229	0.066371681	0.043037975
Luteolin	0.094736842	0.057324841	0.104166667	0.099009901	0.36	0.090909091	0.138157895	0.223404255	0.115384615	0.0875	0.023076923	0.224719101	0.134328358	0.14516129	0.15625	0.177083333	0.129251701	0.134020619	0.121495327	0.087962963	0.140495868	0.1	0.111111111	0.134615385	0.178571429	0.190909091	0.203389831	0.023255814	0.054347826	0.118181818	0.041841004	0.055555556	1	0.111111111	0.072164948	0.137724551	0.106382979	0.139534884	0.102272727	0.153225806	0.045283019	0.112676056	0.365853659	0.057971014	0.088235294	0.107142857	0.033519553	0.685714286	0.041450777	0.133333333	0.06870229	0.061403509	0.120300752	0.112903226	0.178861789	0.194444444	0.099009901	0.088235294	0.078740157	0.105691057	0.191304348	0.149350649	0.100917431	0.165289256	0.069767442	0	0.198347107	0.213114754	0.114130435	0.141666667	0.114035088	0.198473282	0.100628931	0.210084034	0.127819549	0.179487179	0.043010753	0.086206897	0.130841121	0.10106383	0.092783505	0.149122807	0.107142857	0.094488189	0.095607235	0.095238095	0.102040816	0.092307692	0.084210526	0.211009174	0.049261084	0.187919463	0.116504854	0.118644068	0.091503268	0.120481928	0.049180328	0.079545455	0.104	0.104166667	0.309090909	0.111111111	0.05	0	0.175925926	0.041958042	0.15503876	0.160583942	0.064516129	0.072727273	0.172131148	0.142857143	0.098901099	0.078431373	0.007974482	0.04494382	0.131736527	0.006535948	0.112068966	0.109589041	0.113402062	0.185185185	0.136752137	0.022222222	0.165137615	0.099415205	0.081521739	0.112068966
Nelfinavir	0.074829932	0.073170732	0.095890411	0.078431373	0.1875	0.08	0.170103093	0.165517241	0.180555556	0.068181818	0.126506024	0.079470199	0.170454545	0.113636364	0.116022099	0.063694268	0.170212766	0.154929577	0.12987013	0.146825397	0.136094675	0.203252033	0.122580645	0.162162162	0.207792208	0.101190476	0.152941176	0.059701493	0.070921986	0.120253165	0.093862816	0.086330935	0.111111111	1	0.082191781	0.184466019	0.206896552	0.155172414	0.105769231	0.119318182	0.067741935	0.139784946	0.106666667	0.049586777	0.10738255	0.218274112	0.111627907	0.102564103	0.138392857	0.125628141	0.154761905	0.100628931	0.121546961	0.170731707	0.137142857	0.150943396	0.145833333	0.078431373	0.21656051	0.233766234	0.164634146	0.178571429	0.183673469	0.203703704	0.142857143	0.03875969	0.150289017	0.122222222	0.146017699	0.130177515	0.183006536	0.17877095	0.211640212	0.137931034	0.172413793	0.230769231	0.082969432	0.232876712	0.174496644	0.093457944	0.118881119	0.12804878	0.098557692	0.18404908	0.086363636	0.098765432	0.125	0.173652695	0.068027211	0.148148148	0.107883817	0.178571429	0.207142857	0.184713376	0.181818182	0.176	0.103030303	0.079710145	0.163636364	0.088435374	0.137931034	0.128888889	0.077844311	0.064748201	0.13125	0.046391753	0.153409091	0.189944134	0.0625	0.131578947	0.158823529	0.177142857	0.084507042	0.093333333	0.03003003	0.063897764	0.135514019	0.209302326	0.165605096	0.207317073	0.14084507	0.189542484	0.080924855	0.073529412	0.175324675	0.267015707	0.210526316	0.158227848
Ribavirin	0.533333333	0.069444444	0.13253012	0.151162791	0.097345133	0.156626506	0.066225166	0.06185567	0.072164948	0.19047619	0.1	0.043010753	0.09375	0.048387097	0.0625	0.052083333	0.069444444	0.076923077	0.08	0.072115385	0.05	0.036036036	0.048543689	0.039215686	0.052631579	0.025862069	0.150442478	0.085714286	0.103896104	0.067307692	0.117924528	0.045945946	0.072164948	0.082191781	1	0.105590062	0.11627907	0.0546875	0.029520295	0.031496063	0.03515625	0.057971014	0.063829787	0.109090909	0.207317073	0.048192771	0.094936709	0.070707071	0.086206897	0.060402685	0.113043478	0.12371134	0.02238806	0.05	0.055555556	0.054054054	0.125	0.253164557	0.033057851	0.097345133	0.059322034	0.064516129	0.028571429	0.084033613	0.115044248	0.046153846	0.117647059	0.0625	0.06043956	0.033057851	0.08490566	0.066176471	0.147887324	0.073170732	0.061538462	0.06779661	0.096385542	0.055555556	0.038095238	0.066312997	0.13253012	0.0625	0.074175824	0.032520325	0.067357513	0.076704545	0.066666667	0.031746032	0.151898734	0.071428571	0.098360656	0.12244898	0.04040404	0.090909091	0.083916084	0.08	0.171717172	0.092105263	0.06779661	0.253333333	0.211009174	0.056179775	0.175257732	0.025	0.026785714	0.087301587	0.053846154	0.05	0.074074074	0.177777778	0.073770492	0.052631579	0.189189189	0.139534884	0.016393443	0.034883721	0.035087719	0.083969466	0.063636364	0.059633028	0.043478261	0.054545455	0.052173913	0.081081081	0.074766355	0.047619048	0.050561798	0.044642857
Silvestrol	0.098765432	0.071428571	0.084337349	0.075581395	0.173184358	0.076923077	0.228855721	0.131736527	0.124260355	0.052287582	0.125	0.089285714	0.124378109	0.155080214	0.138461538	0.080924855	0.15942029	0.108433735	0.121387283	0.161654135	0.109947644	0.149090909	0.102272727	0.142857143	0.177142857	0.17816092	0.167567568	0.038461538	0.042682927	0.106741573	0.129370629	0.128878282	0.137724551	0.184466019	0.105590062	1	0.216931217	0.181818182	0.112804878	0.166666667	0.070121951	0.177664975	0.107142857	0.042553191	0.081871345	0.220657277	0.135964912	0.129411765	0.131687243	0.140186916	0.126315789	0.077348066	0.192513369	0.115789474	0.158730159	0.146892655	0.201298701	0.094674556	0.153005464	0.147540984	0.192090395	0.135746606	0.190184049	0.194444444	0.13368984	0.01986755	0.146596859	0.11	0.172268908	0.172222222	0.155172414	0.184615385	0.208737864	0.135416667	0.148717949	0.177777778	0.13559322	0.169590643	0.147058824	0.140186916	0.090909091	0.171428571	0.14939759	0.203389831	0.136986301	0.148148148	0.089820359	0.193370166	0.05988024	0.163841808	0.12109375	0.212560386	0.159509202	0.150837989	0.169902913	0.128378378	0.103825137	0.05625	0.158469945	0.111111111	0.238636364	0.170940171	0.111111111	0.037037037	0.161849711	0.120603015	0.161458333	0.142156863	0.035928144	0.10982659	0.179347826	0.153061224	0.0875	0.069767442	0.023188406	0.066465257	0.200913242	0.070422535	0.134078212	0.205323194	0.083333333	0.209580838	0.10106383	0.044025157	0.203592814	0.190909091	0.161702128	0.097297297
Sofosbuvir	0.125	0.107526882	0.123076923	0.086330935	0.157894737	0.096296296	0.157608696	0.131386861	0.164179104	0.076271186	0.108974359	0.056737589	0.11627907	0.12345679	0.112426036	0.047945205	0.119565217	0.136363636	0.103448276	0.136363636	0.141025641	0.141700405	0.126760563	0.153284672	0.162162162	0.103225806	0.159235669	0.05785124	0.053846154	0.124137931	0.098859316	0.086633663	0.106382979	0.206896552	0.11627907	0.216931217	1	0.133333333	0.081699346	0.136645963	0.085616438	0.112359551	0.09352518	0.066037736	0.110294118	0.177083333	0.108374384	0.097222222	0.110599078	0.09947644	0.139240506	0.158273381	0.138554217	0.133757962	0.149068323	0.119205298	0.188976378	0.086330935	0.18	0.205479452	0.149350649	0.124352332	0.194029851	0.198675497	0.163398693	0.034482759	0.141975309	0.099415205	0.139534884	0.141935484	0.136054422	0.119318182	0.414473684	0.128834356	0.137724551	0.186666667	0.103773585	0.177304965	0.15	0.099273608	0.106060606	0.125	0.115869018	0.169934641	0.096926714	0.122395833	0.121212121	0.159235669	0.091603053	0.170068027	0.109649123	0.18579235	0.192307692	0.194444444	0.131147541	0.166666667	0.226277372	0.097560976	0.163398693	0.216666667	0.164556962	0.126760563	0.08496732	0.03875969	0.151724138	0.073863636	0.131736527	0.170588235	0.069230769	0.112676056	0.136645963	0.142857143	0.138211382	0.111111111	0.029096478	0.085034014	0.111650485	0.114942529	0.157534247	0.184100418	0.088235294	0.166666667	0.08125	0.047619048	0.167832168	0.206349206	0.183168317	0.097402597
Sorafenib	0.046511628	0.053475936	0.0703125	0.067669173	0.151724138	0.069230769	0.243902439	0.237288136	0.195121951	0.092592593	0.051282051	0.129032258	0.180645161	0.161073826	0.185430464	0.107692308	0.25477707	0.305555556	0.102189781	0.068273092	0.141891892	0.181818182	0.161538462	0.15503876	0.18115942	0.132867133	0.108974359	0.053097345	0.113043478	0.157894737	0.033210332	0.051344743	0.139534884	0.155172414	0.0546875	0.181818182	0.133333333	1	0.166666667	0.175675676	0.033557047	0.086206897	0.125984252	0.04	0.059701493	0.172972973	0.023696682	0.128787879	0.040358744	0.148571429	0.075471698	0.09352518	0.132075472	0.157534247	0.142857143	0.25	0.14516129	0.059701493	0.12	0.192857143	0.235294118	0.188571429	0.279661017	0.170068027	0.069620253	0.037383178	0.1	0.125786164	0.168316832	0.191489362	0.153284672	0.205128205	0.144444444	0.121794872	0.167741935	0.141891892	0.018099548	0.129496403	0.151515152	0.101485149	0.078740157	0.306451613	0.1043257	0.197183099	0.09375	0.104712042	0.263636364	0.201388889	0.072	0.147887324	0.0472103	0.155555556	0.131782946	0.124137931	0.106145251	0.148148148	0.081632653	0.086206897	0.270676692	0.0703125	0.151315789	0.178571429	0.046666667	0.008064516	0.153284672	0.016949153	0.782178218	0.194968553	0.06557377	0.071942446	0.183673469	0.150943396	0.056451613	0.076335878	0.015313936	0.033333333	0.139896373	0.069364162	0.142857143	0.156118143	0.094488189	0.204545455	0.163120567	0.025	0.264	0.171122995	0.155778894	0.167883212
Suramin	0.025735294	0.03021148	0.036900369	0.032490975	0.095070423	0.029090909	0.118971061	0.111111111	0.08988764	0.031496063	0.030100334	0.067669173	0.10472973	0.093103448	0.076666667	0.058823529	0.175862069	0.08365019	0.061151079	0.064935065	0.086805556	0.191428571	0.064981949	0.077205882	0.096428571	0.081272085	0.096885813	0.015444015	0.038167939	0.068100358	0.036674817	0.055147059	0.102272727	0.105769231	0.029520295	0.112804878	0.081699346	0.166666667	1	0.074324324	0.058548009	0.057142857	0.095419847	0.029045643	0.028776978	0.135220126	0.025641026	0.101503759	0.038674033	0.064814815	0.03960396	0.038596491	0.065789474	0.083044983	0.092150171	0.105454545	0.059259259	0.032490975	0.068493151	0.095070423	0.142857143	0.121019108	0.080586081	0.10877193	0.03986711	0.02	0.084745763	0.109965636	0.10787172	0.083333333	0.055944056	0.136986301	0.083591331	0.088737201	0.086956522	0.090592334	0.025	0.067375887	0.076363636	0.168650794	0.040740741	0.141791045	0.177189409	0.141818182	0.15860735	0.150406504	0.076045627	0.14028777	0.025830258	0.088652482	0.057220708	0.135483871	0.074074074	0.069686411	0.062111801	0.072	0.055749129	0.034482759	0.138181818	0.029304029	0.1	0.10619469	0.041522491	0.007490637	0.098181818	0.102040816	0.161290323	0.155709343	0.026217228	0.053956835	0.11971831	0.082781457	0.026119403	0.032608696	0.053524804	0.058275058	0.109756098	0.068181818	0.078014184	0.145205479	0.05204461	0.097826087	0.069444444	0.015209125	0.131086142	0.137931034	0.11641791	0.055555556
Tilorone_(Amixin)	0.048	0.122093023	0.090163934	0.078125	0.147887324	0.088709677	0.149425287	0.154471545	0.108527132	0.04587156	0.045751634	0.105691057	0.125786164	0.207142857	0.166666667	0.09375	0.128654971	0.12295082	0.122137405	0.091666667	0.259541985	0.102459016	0.267241379	0.18852459	0.160583942	0.161764706	0.126666667	0.036036036	0.042016807	0.229508197	0.045454545	0.05707196	0.153225806	0.119318182	0.031496063	0.166666667	0.136645963	0.175675676	0.074324324	1	0.070422535	0.134969325	0.168067227	0.01010101	0.069767442	0.14516129	0.044334975	0.141732283	0.060465116	0.145348837	0.105960265	0.121212121	0.222222222	0.114864865	0.34375	0.258064516	0.159663866	0.053435115	0.138888889	0.101351351	0.146853147	0.120879121	0.157480315	0.142857143	0.10738255	0.028846154	0.131578947	0.174496644	0.154228856	0.333333333	0.124087591	0.179487179	0.154285714	0.163265306	0.149350649	0.195652174	0.057416268	0.100719424	0.184	0.094292804	0.090163934	0.161764706	0.08040201	0.22962963	0.084134615	0.097112861	0.097560976	0.215827338	0.101694915	0.160583942	0.048034934	0.146067416	0.154471545	0.143884892	0.121387283	0.100917431	0.076388889	0.089285714	0.178571429	0.064	0.171232877	0.158163265	0.02	0.016806723	0.157894737	0.01734104	0.165562914	0.148148148	0.058823529	0.035714286	0.140939597	0.177631579	0.067226891	0.078740157	0.021705426	0.073684211	0.130890052	0.034285714	0.31092437	0.115702479	0.097560976	0.192307692	0.151079137	0.043859649	0.19379845	0.14973262	0.135678392	0.083333333
Cyclosporine	0.043307087	0.051446945	0.04296875	0.054263566	0.064516129	0.05078125	0.063694268	0.033707865	0.029739777	0.020576132	0.061371841	0.034482759	0.057432432	0.044827586	0.047457627	0.045801527	0.051446945	0.022641509	0.072519084	0.131428571	0.087272727	0.068965517	0.056390977	0.041044776	0.057761733	0.042857143	0.086021505	0.024691358	0.019762846	0.059701493	0.067708333	0.106719368	0.045283019	0.067741935	0.03515625	0.070121951	0.085616438	0.033557047	0.058548009	0.070422535	1	0.085034014	0.062256809	0.012987013	0.058365759	0.067692308	0.101910828	0.04887218	0.113846154	0.054140127	0.09057971	0.068181818	0.07266436	0.049122807	0.066202091	0.050724638	0.046153846	0.046153846	0.053003534	0.053191489	0.045614035	0.059561129	0.025547445	0.074733096	0.095238095	0.008368201	0.085106383	0.072916667	0.082840237	0.068100358	0.051094891	0.04950495	0.070063694	0.089285714	0.040133779	0.071684588	0.112852665	0.036101083	0.044444444	0.12745098	0.08097166	0.024561404	0.137096774	0.038062284	0.120689655	0.145228216	0.018939394	0.034129693	0.047619048	0.073260073	0.074712644	0.08681672	0.041509434	0.065454545	0.064935065	0.024193548	0.07037037	0.071129707	0.038194444	0.038910506	0.059027778	0.074404762	0.055147059	0.015936255	0.054945055	0.061643836	0.036789298	0.092150171	0.04	0.04887218	0.062937063	0.061016949	0.039840637	0.042307692	0.081855389	0.848739496	0.067073171	0.078767123	0.054545455	0.103825137	0.038610039	0.058608059	0.05	0.032653061	0.051094891	0.094043887	0.090909091	0.039426523
Emetine	0.065693431	0.06122449	0.057142857	0.077464789	0.148387097	0.071428571	0.181318681	0.082758621	0.074829932	0.032	0.086956522	0.118518519	0.134502924	0.164556962	0.202531646	0.091549296	0.11827957	0.062937063	0.109589041	0.154166667	0.125	0.100775194	0.102040816	0.103448276	0.115384615	0.20979021	0.115151515	0.015625	0.02962963	0.092715232	0.08988764	0.094292804	0.112676056	0.139784946	0.057971014	0.177664975	0.112359551	0.086206897	0.057142857	0.134969325	0.085034014	1	0.124087591	0	0.108695652	0.145728643	0.101941748	0.103448276	0.094594595	0.158469945	0.1375	0.086666667	0.273333333	0.104294479	0.126506024	0.117647059	0.141791045	0.092857143	0.104938272	0.05952381	0.084848485	0.146596859	0.072847682	0.089285714	0.132075472	0.016666667	0.119760479	0.079545455	0.127853881	0.147435897	0.173611111	0.130681818	0.107142857	0.148148148	0.129411765	0.139240506	0.113207547	0.112582781	0.147887324	0.08056872	0.072463768	0.08125	0.085365854	0.090361446	0.073732719	0.085213033	0.048951049	0.076023392	0.074074074	0.137254902	0.085106383	0.146596859	0.090277778	0.101265823	0.215116279	0.071428571	0.103896104	0.0703125	0.084337349	0.064748201	0.120481928	0.125581395	0.05	0.070866142	0.141891892	0.055248619	0.097701149	0.116666667	0.052238806	0.045751634	0.094674556	0.121387283	0.067669173	0.070422535	0.012012012	0.080808081	0.276243094	0.088888889	0.103225806	0.149193548	0.171875	0.111111111	0.129032258	0.03875969	0.126666667	0.116504854	0.075892857	0.117647059
Emodin	0.086956522	0.065789474	0.108695652	0.103092784	0.245283019	0.094736842	0.119205298	0.180851064	0.108910891	0.092105263	0.032	0.235294118	0.129770992	0.12195122	0.125	0.197802198	0.109589041	0.115789474	0.16	0.09478673	0.165217391	0.081818182	0.094339623	0.106796117	0.20754717	0.165137615	0.232142857	0.024390244	0.056818182	0.101851852	0.042553191	0.056149733	0.365853659	0.106666667	0.063829787	0.107142857	0.09352518	0.125984252	0.095419847	0.168067227	0.062256809	0.124087591	1	0.078125	0.091836735	0.103030303	0.028409091	0.357142857	0.042328042	0.106666667	0.079365079	0.083333333	0.098484848	0.116666667	0.128	0.157407407	0.091836735	0.091836735	0.055555556	0.090909091	0.17699115	0.130718954	0.074074074	0.132231405	0.080645161	0.013333333	0.226086957	0.263157895	0.092391304	0.117647059	0.098214286	0.15037594	0.082278481	0.217391304	0.114503817	0.145299145	0.038251366	0.060869565	0.103773585	0.093333333	0.133333333	0.114035088	0.102209945	0.071428571	0.090909091	0.093220339	0.094736842	0.069767442	0.087912088	0.196261682	0.050251256	0.176870748	0.088235294	0.094017094	0.101351351	0.126582278	0.068965517	0.12345679	0.089430894	0.085106383	0.206896552	0.088888889	0.042735043	0.011235955	0.160377358	0.035714286	0.141732283	0.165413534	0.091954023	0.075471698	0.139344262	0.121212121	0.078651685	0.092783505	0.009646302	0.061776062	0.114457831	0.020408163	0.096491228	0.096330275	0.130434783	0.148148148	0.14159292	0.023255814	0.160377358	0.095238095	0.071428571	0.096491228
Foscarnet	0.070175439	0.060344828	0.166666667	0.046153846	0.04494382	0.048387097	0.04	0.074626866	0.057971014	0.1	0.071428571	0.03125	0.038095238	0	0	0.029411765	0.025	0.046875	0.1	0.026737968	0.043956044	0.020512821	0	0	0.034883721	0	0.076086957	0.125	0.058823529	0.012658228	0.035175879	0.014245014	0.057971014	0.049586777	0.109090909	0.042553191	0.066037736	0.04	0.029045643	0.01010101	0.012987013	0	0.078125	1	0.046153846	0.028776978	0.051851852	0.056338028	0.053333333	0	0.054347826	0.054054054	0	0.043956044	0.03030303	0.011764706	0.0625	0.046153846	0	0.068965517	0.056179775	0.022900763	0	0.076923077	0.055555556	0.027777778	0.073684211	0.05	0.0125	0	0.012048193	0.04587156	0.064516129	0.041237113	0	0.043956044	0.027210884	0	0	0.022038567	0.06779661	0.035294118	0.022727273	0.010526316	0.021447721	0.035714286	0.083333333	0.010204082	0.034482759	0.034883721	0.049382716	0.05511811	0	0.011363636	0.050847458	0.136363636	0.049382716	0.04	0.043956044	0.05	0.041237113	0.006410256	0.092105263	0	0	0.04950495	0.039215686	0.035714286	0.037037037	0.119402985	0.030927835	0.009259259	0.036363636	0.116666667	0.013769363	0.012875536	0	0.037383178	0.036144578	0.020408163	0	0.036585366	0	0.113636364	0.076923077	0.035714286	0.033112583	0.011764706
Lobucavir	0.302631579	0.102739726	0.174418605	0.472222222	0.110169492	0.471428571	0.076923077	0.067961165	0.077669903	0.154929577	0.066666667	0.072164948	0.122137405	0.078740157	0.091603053	0.08	0.087837838	0.071428571	0.105769231	0.074766355	0.090163934	0.044052863	0.08490566	0.076190476	0.094827586	0.05	0.10483871	0.064102564	0.12195122	0.102803738	0.065502183	0.039577836	0.088235294	0.10738255	0.207317073	0.081871345	0.110294118	0.059701493	0.028776978	0.069767442	0.058365759	0.108695652	0.091836735	0.046153846	1	0.071005917	0.065088757	0.086538462	0.059459459	0.085526316	0.115702479	0.247311828	0.051094891	0.064	0.060606061	0.087719298	0.115789474	0.23255814	0.056	0.091666667	0.073170732	0.075	0.055045872	0.088	0.117647059	0.013513514	0.12	0.1	0.086956522	0.073170732	0.12962963	0.085714286	0.125827815	0.120967742	0.098484848	0.081300813	0.06779661	0.080357143	0.08411215	0.046035806	0.202380952	0.058823529	0.050131926	0.05511811	0.052763819	0.051771117	0.051020408	0.053846154	0.342465753	0.114035088	0.055837563	0.088607595	0.067961165	0.165137615	0.094594595	0.060240964	0.118181818	0.153846154	0.072580645	0.231707317	0.120967742	0.083333333	0.080357143	0.034883721	0.070175439	0.051094891	0.058823529	0.069444444	0.13253012	0.107843137	0.112903226	0.105263158	0.233766234	0.220930233	0.012924071	0.053846154	0.051428571	0.056737589	0.087719298	0.072072072	0.095744681	0.088495575	0.084745763	0.074074074	0.079646018	0.076470588	0.065934066	0.107142857
Manidipine	0.041916168	0.067873303	0.073170732	0.071005917	0.163841808	0.072289157	0.246153846	0.185897436	0.184713376	0.046666667	0.091397849	0.078313253	0.233333333	0.145945946	0.184782609	0.070175439	0.262032086	0.111111111	0.124260355	0.121323529	0.149171271	0.238095238	0.111111111	0.167701863	0.202380952	0.142045455	0.127659574	0.039473684	0.050314465	0.102857143	0.059800664	0.080645161	0.107142857	0.218274112	0.048192771	0.220657277	0.177083333	0.172972973	0.135220126	0.14516129	0.067692308	0.145728643	0.103030303	0.028776978	0.071005917	1	0.066945607	0.099415205	0.075396825	0.194029851	0.09947644	0.116959064	0.134715026	0.124324324	0.168478261	0.143678161	0.13836478	0.052325581	0.254545455	0.163841808	0.203488372	0.1875	0.202531646	0.185393258	0.106382979	0.02739726	0.119791667	0.101010101	0.206140351	0.143646409	0.138728324	0.240437158	0.177884615	0.132275132	0.202185792	0.202312139	0.060240964	0.281045752	0.179012346	0.110091743	0.086419753	0.168604651	0.115566038	0.274390244	0.107623318	0.110843373	0.09202454	0.261904762	0.074534161	0.16091954	0.076045627	0.159624413	0.193548387	0.147727273	0.156097561	0.13986014	0.112359551	0.078431373	0.188571429	0.053892216	0.126315789	0.210762332	0.042553191	0.044585987	0.179640719	0.037914692	0.164893617	0.186528497	0.090322581	0.068181818	0.183333333	0.187165775	0.0625	0.071428571	0.018867925	0.06402439	0.182648402	0.087378641	0.150289017	0.247011952	0.133757962	0.164705882	0.115384615	0.051948052	0.208588957	0.30964467	0.222727273	0.117977528
Monensin	0.08125	0.044444444	0.054216867	0.052631579	0.073298429	0.047337278	0.066079295	0.022222222	0.027777778	0.026315789	0.21686747	0.011363636	0.0625	0.029268293	0.048309179	0.016759777	0.044444444	0.028735632	0.086206897	0.196850394	0.050761421	0.065068493	0.044198895	0.021857923	0.046875	0.047120419	0.098958333	0.053691275	0.018404908	0.049180328	0.204545455	0.175879397	0.033519553	0.111627907	0.094936709	0.135964912	0.108374384	0.023696682	0.025641026	0.044334975	0.101910828	0.101941748	0.028409091	0.051851852	0.065088757	0.066945607	1	0.033149171	0.413612565	0.071748879	0.161111111	0.06741573	0.068627451	0.078125	0.054187192	0.03125	0.090909091	0.058823529	0.067357513	0.073298429	0.03	0.064935065	0.027173913	0.082474227	0.169491525	0.020547945	0.097435897	0.038277512	0.083003953	0.056410256	0.076923077	0.061032864	0.099099099	0.075757576	0.042857143	0.061538462	0.228971963	0.071428571	0.032608696	0.085393258	0.054216867	0.020408163	0.113207547	0.04	0.078774617	0.105769231	0.035087719	0.029268293	0.036144578	0.057894737	0.2	0.113122172	0.033707865	0.063492063	0.118483412	0.04516129	0.076502732	0.025	0.040201005	0.073619632	0.086734694	0.076	0.153846154	0.093959732	0.02617801	0.101010101	0.023474178	0.04587156	0.012048193	0.106508876	0.039215686	0.057416268	0.05625	0.052941176	0.040059347	0.101265823	0.079497908	0.126262626	0.053191489	0.094736842	0.047337278	0.064864865	0.041237113	0.073333333	0.053763441	0.079831933	0.067729084	0.042105263
Quercetin	0.092783505	0.056603774	0.102040816	0.097087379	0.289719626	0.089108911	0.129032258	0.206185567	0.113207547	0.085365854	0.022727273	0.21978022	0.132352941	0.133858268	0.145038168	0.197916667	0.12	0.131313131	0.12962963	0.082191781	0.138211382	0.099099099	0.109090909	0.121495327	0.165217391	0.17699115	0.210084034	0.022727273	0.053191489	0.116071429	0.045833333	0.055263158	0.685714286	0.102564103	0.070707071	0.129411765	0.097222222	0.128787879	0.101503759	0.141732283	0.04887218	0.103448276	0.357142857	0.056338028	0.086538462	0.099415205	0.033149171	1	0.041025641	0.131578947	0.067669173	0.060344828	0.110294118	0.111111111	0.166666667	0.18018018	0.097087379	0.086538462	0.069230769	0.095238095	0.188034188	0.140127389	0.089285714	0.153225806	0.06870229	0	0.204918033	0.219512195	0.106951872	0.130081301	0.112068966	0.186567164	0.092592593	0.216666667	0.117647059	0.176470588	0.048128342	0.075630252	0.118181818	0.100529101	0.090909091	0.136752137	0.106557377	0.084615385	0.095115681	0.097765363	0.1	0.082706767	0.082474227	0.196428571	0.053921569	0.201342282	0.103773585	0.107438017	0.090322581	0.117647059	0.048387097	0.077777778	0.09375	0.102040816	0.327272727	0.103825137	0.05785124	0	0.162162162	0.048611111	0.143939394	0.158273381	0.063157895	0.071428571	0.16	0.132352941	0.096774194	0.076923077	0.00955414	0.048507463	0.123529412	0.006451613	0.110169492	0.108597285	0.111111111	0.171171171	0.134453782	0.02173913	0.151785714	0.091954023	0.07486631	0.110169492
